id,domain,parameter,min_or_value,max_or_blank,unit,evidence_type,source_id,source_url,source_page_or_location,derivation,limitations,owner_status
P03,randomization,thick wood composite proposed areal mass,18,30,kg/m2,ENGINEERING_INITIAL,S02,https://lpddoors.co.uk/products/oak-vancouver-5p/,网页；Technical Information,,非原厂整体范围/市场分布；厚度候选44-54mm；m=area*density,DISCUSSION_OPEN_NOT_AUTHORIZED
P04,randomization,metal security fire proposed areal mass,40,75,kg/m2,ENGINEERING_INITIAL,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,,非原厂整体范围/市场分布；厚度候选40-65mm；m=area*density,DISCUSSION_OPEN_NOT_AUTHORIZED
P05,randomization,hinge breakaway low-resistance envelope,0,1,N*m,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,没有国内典型范围证据；不是闭门器负载,DISCUSSION_OPEN_NOT_AUTHORIZED
P06,randomization,dynamic/static hinge friction ratio,0.5,1,ratio,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,仅讨论值；不是原厂摩擦曲线,DISCUSSION_OPEN_NOT_AUTHORIZED
P07,randomization,added viscous coefficient low-resistance envelope,0,0.5,N*m*s/rad,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,不是由TS93迟滞曲线拟合,DISCUSSION_OPEN_NOT_AUTHORIZED
P08,randomization,legacy friction challenge anchors,0;2;5,,N*m,PROJECT_HISTORICAL,,,本次review所列项目路径/独立计算,,v27 L1静摩擦；动态0.75倍，粘性0；不是现实概率,DISCUSSION_OPEN_NOT_AUTHORIZED
C01,closer,GEZE Boxer maximum applicable door mass,180,,kg,RATED_CAPACITY_NOT_LEAF_MASS,S06,https://www.geze.com.cn/zh/产品与解决方案/平开门/隐藏式闭门器/boxer_单扇门用/boxer/p_7493,网页；产品技术参数,,绝不当成实际门重,DISCUSSION_OPEN_NOT_AUTHORIZED
C02,closer,GEZE Boxer maximum opening angle,120,,deg,FACTORY_INSTALLATION,S06,https://www.geze.com.cn/zh/产品与解决方案/平开门/隐藏式闭门器/boxer_单扇门用/boxer/p_7493,网页；产品技术参数,,安装适用条件限定,DISCUSSION_OPEN_NOT_AUTHORIZED
C03,closer,TS93 upper branch early torque,23,,N*m,GRAPH_READING,S08,https://dormakaba-res.cloudinary.com/image/upload/v1745406409/dormakaba-prod/120000029718-ts93-torque-curve-at-en3.pdf,2005-10-27；5000 cycles；单页PDF，第1页,,约0-5deg；±1-2Nm；分支方向为推断,DISCUSSION_OPEN_NOT_AUTHORIZED
C04,closer,TS93 upper branch around30deg,12,,N*m,GRAPH_READING,S08,https://dormakaba-res.cloudinary.com/image/upload/v1745406409/dormakaba-prod/120000029718-ts93-torque-curve-at-en3.pdf,2005-10-27；5000 cycles；单页PDF，第1页,,±1-2Nm；非数字原始数据,DISCUSSION_OPEN_NOT_AUTHORIZED
C05,closer,TS93 upper branch after30deg,12,14,N*m,GRAPH_READING,S08,https://dormakaba-res.cloudinary.com/image/upload/v1745406409/dormakaba-prod/120000029718-ts93-torque-curve-at-en3.pdf,2005-10-27；5000 cycles；单页PDF，第1页,,特定样品；不能推断粘性b,DISCUSSION_OPEN_NOT_AUTHORIZED
C06,closer,TS93 lower branch after30deg,9,11,N*m,GRAPH_READING,S08,https://dormakaba-res.cloudinary.com/image/upload/v1745406409/dormakaba-prod/120000029718-ts93-torque-curve-at-en3.pdf,2005-10-27；5000 cycles；单页PDF，第1页,,方向图例不明确；非扭矩-速度数据,DISCUSSION_OPEN_NOT_AUTHORIZED
P09,door_stop,proposed mechanical-stop envelope,90,150,deg,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,当前上限150；非现实分布；不自动修复释放行为,DISCUSSION_OPEN_NOT_AUTHORIZED
U01,hinge,Chinese common door hinge friction distribution,UNKNOWN,,N*m,UNKNOWN,,,本次review所列项目路径/独立计算,,未获得可信一手总体数据，不以规范上限替代,DISCUSSION_OPEN_NOT_AUTHORIZED
U02,closer,real closer viscous damping distribution,UNKNOWN,,N*m*s/rad,UNKNOWN,S08,https://dormakaba-res.cloudinary.com/image/upload/v1745406409/dormakaba-prod/120000029718-ts93-torque-curve-at-en3.pdf,2005-10-27；5000 cycles；单页PDF，第1页,,缺试验速度，不能由两曲线间距反推,DISCUSSION_OPEN_NOT_AUTHORIZED
L01,latch,PDQ GT 2.75in backset operating rotation,41,,deg,FACTORY_OPERATING_ROTATION,S13,https://www.pdqlocks.com/products/gt-cylindrical-lock,网页；Specifications的BACKSET/LATCHBOLT/TRIM,,不是已确认q_stop/q_full；联合14.2875mm throw,DISCUSSION_OPEN_NOT_AUTHORIZED
L02,latch,PDQ GT 2.75in backset throw,14.2875,,mm,FACTORY_CONVERTED,S13,https://www.pdqlocks.com/products/gt-cylindrical-lock,网页；Specifications的BACKSET/LATCHBOLT/TRIM,9/16*25.4,9/16in；不要误写30mm,DISCUSSION_OPEN_NOT_AUTHORIZED
L03,latch,PDQ GT 2.375in backset operating rotation,65,,deg,FACTORY_OPERATING_ROTATION,S13,https://www.pdqlocks.com/products/gt-cylindrical-lock,网页；Specifications的BACKSET/LATCHBOLT/TRIM,,联合12.7mm throw,DISCUSSION_OPEN_NOT_AUTHORIZED
L04,latch,PDQ GT 2.375in backset throw,12.7,,mm,FACTORY_CONVERTED,S13,https://www.pdqlocks.com/products/gt-cylindrical-lock,网页；Specifications的BACKSET/LATCHBOLT/TRIM,0.5*25.4,1/2in,DISCUSSION_OPEN_NOT_AUTHORIZED
L05,latch,PDQ GT optional double-door throw,19.05,,mm,FACTORY_CONVERTED,S13,https://www.pdqlocks.com/products/gt-cylindrical-lock,网页；Specifications的BACKSET/LATCHBOLT/TRIM,0.75*25.4,3/4in，65deg机构选项,DISCUSSION_OPEN_NOT_AUTHORIZED
L06,latch,current legacy handle travel,45,,deg,PROJECT_CURRENT,,,本次review所列项目路径/独立计算,,原生source；不是现实统一行程,DISCUSSION_OPEN_NOT_AUTHORIZED
L07,latch,current legacy latch travel,30,,mm,PROJECT_CURRENT,,,本次review所列项目路径/独立计算,,现有锥体/门框代理几何,DISCUSSION_OPEN_NOT_AUTHORIZED
U03,latch,China lever actual q_onset q_clear q_stop distribution,UNKNOWN,,deg,UNKNOWN,,,本次review所列项目路径/独立计算,,产品operation角不等于完整机构曲线,DISCUSSION_OPEN_NOT_AUTHORIZED
U04,latch,lever return torque curve,UNKNOWN,,N*m,UNKNOWN,,,本次review所列项目路径/独立计算,,当前1-3Nm是项目drive限幅，非原厂实测回位分布,DISCUSSION_OPEN_NOT_AUTHORIZED
U05,latch,strike overlap / clearance distribution,UNKNOWN,,mm,UNKNOWN,,,本次review所列项目路径/独立计算,,必须与latch几何联合采样；不得自由随机生成无解门,DISCUSSION_OPEN_NOT_AUTHORIZED
H01,handle,GEZE LH103 circular tube diameter,19,,mm,FACTORY,S18,https://www.geze.com.cn/en/products-solutions/access_control_and_safety/door_hardware/door_handle_sets/handle_lh_103_oval/p_91480,网页；产品描述/Technical data,,oval是饰盖，不是截面,DISCUSSION_OPEN_NOT_AUTHORIZED
H02,handle,FSB1076 diagram dimensions,137;57;21,,mm,FACTORY_DRAWING_TEXT,S14,https://fsb-website.fra1.digitaloceanspaces.com/website/documents/download-area/03_preisinformationen/neue-preislisten-ab-mai-2025/fsb-na-2025-catalog-price-book-compressed-meta.pdf,2025版；1076印刷p31/PDF索引35，1107 p34/38，1108 p35/39，1144 p38/42，1146 p39/43,,部分图页截图失败；箭头含义/净间隙不全已核；不以这些数字猜曲率,DISCUSSION_OPEN_NOT_AUTHORIZED
H03,handle,FSB1108 diagram dimensions,135;56,,mm,FACTORY_DRAWING_TEXT,S14,https://fsb-website.fra1.digitaloceanspaces.com/website/documents/download-area/03_preisinformationen/neue-preislisten-ab-mai-2025/fsb-na-2025-catalog-price-book-compressed-meta.pdf,2025版；1076印刷p31/PDF索引35，1107 p34/38，1108 p35/39，1144 p38/42，1146 p39/43,,部分图页截图失败；箭头含义/净间隙不全已核；不以这些数字猜曲率,DISCUSSION_OPEN_NOT_AUTHORIZED
H04,handle,FSB1107 diagram dimensions,136;58,,mm,FACTORY_DRAWING_TEXT,S14,https://fsb-website.fra1.digitaloceanspaces.com/website/documents/download-area/03_preisinformationen/neue-preislisten-ab-mai-2025/fsb-na-2025-catalog-price-book-compressed-meta.pdf,2025版；1076印刷p31/PDF索引35，1107 p34/38，1108 p35/39，1144 p38/42，1146 p39/43,,部分图页截图失败；箭头含义/净间隙不全已核；不以这些数字猜曲率,DISCUSSION_OPEN_NOT_AUTHORIZED
H05,handle,FSB1144 diagram dimensions,131;63,,mm,FACTORY_DRAWING_TEXT,S14,https://fsb-website.fra1.digitaloceanspaces.com/website/documents/download-area/03_preisinformationen/neue-preislisten-ab-mai-2025/fsb-na-2025-catalog-price-book-compressed-meta.pdf,2025版；1076印刷p31/PDF索引35，1107 p34/38，1108 p35/39，1144 p38/42，1146 p39/43,,部分图页截图失败；箭头含义/净间隙不全已核；不以这些数字猜曲率,DISCUSSION_OPEN_NOT_AUTHORIZED
H06,handle,FSB1146 diagram dimensions,142;62;57;20,,mm,FACTORY_DRAWING_TEXT,S14,https://fsb-website.fra1.digitaloceanspaces.com/website/documents/download-area/03_preisinformationen/neue-preislisten-ab-mai-2025/fsb-na-2025-catalog-price-book-compressed-meta.pdf,2025版；1076印刷p31/PDF索引35，1107 p34/38，1108 p35/39，1144 p38/42，1146 p39/43,,部分图页截图失败；箭头含义/净间隙不全已核；不以这些数字猜曲率,DISCUSSION_OPEN_NOT_AUTHORIZED
P10,handle,circular section diameter candidate,18,24,mm,ENGINEERING_INITIAL,S18,https://www.geze.com.cn/en/products-solutions/access_control_and_safety/door_hardware/door_handle_sets/handle_lh_103_oval/p_91480,网页；产品描述/Technical data,,圆杆19/21等锚点支持量级；连续域为设计,DISCUSSION_OPEN_NOT_AUTHORIZED
P11,handle,oval full major axis candidate,18,24,mm,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,完整轴长，不是半轴；非FSB精确尺寸,DISCUSSION_OPEN_NOT_AUTHORIZED
P12,handle,oval full minor axis candidate,12,18,mm,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,与主轴联合，不是原厂值,DISCUSSION_OPEN_NOT_AUTHORIZED
P13,handle,rounded-flat full width candidate,20,28,mm,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,与厚度及局部closing frame联合,DISCUSSION_OPEN_NOT_AUTHORIZED
P14,handle,rounded-flat full thickness candidate,10,16,mm,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,非FSB1144完整CAD,DISCUSSION_OPEN_NOT_AUTHORIZED
P15,handle,main-segment curvature radius candidate,0.2,0.6,m,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,不是产品曲率；局部50mm弧长转角也可约束<=15deg,DISCUSSION_OPEN_NOT_AUTHORIZED
P16,handle,return curvature radius candidate,15,30,mm,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,须与杆径、门板间隙和指体联合过滤,DISCUSSION_OPEN_NOT_AUTHORIZED
P17,handle,collision clearance design allowance,3,5,mm,ENGINEERING_INITIAL,,,本次review所列项目路径/独立计算,,加在实际局部指体厚度之外；不是实机安全认证,DISCUSSION_OPEN_NOT_AUTHORIZED
H07,gripper,URDF combined finger differential joint travel,70,,mm,PROJECT_GEOMETRY,,,本次review所列项目路径/独立计算,,不等于实测净开口；arm_j7 0-35 arm_j8 -35-0,DISCUSSION_OPEN_NOT_AUTHORIZED
H08,handle,current return probability,0.5,,probability,PROJECT_CURRENT,,,本次review所列项目路径/独立计算,,已有功能，市场频率未知,DISCUSSION_OPEN_NOT_AUTHORIZED
U06,handle,shape family market probabilities,UNKNOWN,,probability,UNKNOWN,,,本次review所列项目路径/独立计算,,设计权重待Owner；不伪装成现实占比,DISCUSSION_OPEN_NOT_AUTHORIZED
A01,camera,v29 current nominal base tilt up,15,,deg,PROJECT_CURRENT,,,本次review所列项目路径/独立计算,,机械pitch为-15deg,DISCUSSION_OPEN_NOT_AUTHORIZED
A02,camera,independent proposed base tilt up,25,,deg,ENGINEERING_CANDIDATE,,,本次review所列项目路径/独立计算,,初判30经几何修正；不是成像验收,DISCUSSION_OPEN_NOT_AUTHORIZED
A03,camera,current reset wrist RGB pitch relative trunk,-15.206194654,,deg,INDEPENDENT_CPU_FK,,,本次review所列项目路径/独立计算,,trunk不水平时不能直接叫world俯角,DISCUSSION_OPEN_NOT_AUTHORIZED
A04,camera,historical renderer RGB vertical field of view,42.272561,,deg,DERIVED_PROJECT_MANIFEST,,,本次review所列项目路径/独立计算,2*atan(1080/(2*1396.808594))*180/pi,1920x1080 fy1396.808594；不是D435i所有stream标称值,DISCUSSION_OPEN_NOT_AUTHORIZED
A05,camera,25deg tilt low .90m target max forward distance,2.3171,,m,INDEPENDENT_CPU_GEOMETRY,,,本次review所列项目路径/独立计算,,水平trunk rootZ .55，光心偏置随倾角；无横向/遮挡,DISCUSSION_OPEN_NOT_AUTHORIZED
A06,camera,30deg tilt low .90m target max forward distance,0.99938,,m,INDEPENDENT_CPU_GEOMETRY,,,本次review所列项目路径/独立计算,,仅竖直前向截面；不是自然轨迹成功率,DISCUSSION_OPEN_NOT_AUTHORIZED
D06,drive,current native hinge stiffness,1,10,N*m/deg,PROJECT_CURRENT_PLUS_SCHEMA,S10,https://docs.omniverse.nvidia.com/kit/docs/omni_physics/107.0/dev_guide/schemas/usdphysics.html,版本107.0；UsdPhysicsDriveAPI的GetTargetPosition/GetDamping/GetStiffness/GetMaxForce,,正向开启大部分可能限幅，待本地实际读回,DISCUSSION_OPEN_NOT_AUTHORIZED
D07,drive,current native hinge damping,50,,N*m*s/deg,PROJECT_CURRENT_PLUS_SCHEMA,S10,https://docs.omniverse.nvidia.com/kit/docs/omni_physics/107.0/dev_guide/schemas/usdphysics.html,版本107.0；UsdPhysicsDriveAPI的GetTargetPosition/GetDamping/GetStiffness/GetMaxForce,,不要直接当N*m*s/rad,DISCUSSION_OPEN_NOT_AUTHORIZED
D08,drive,current hinge stiffness SI equivalent,57.29577951308232,572.9577951308232,N*m/rad,DERIVED,S10,https://docs.omniverse.nvidia.com/kit/docs/omni_physics/107.0/dev_guide/schemas/usdphysics.html,版本107.0；UsdPhysicsDriveAPI的GetTargetPosition/GetDamping/GetStiffness/GetMaxForce,k_deg*180/pi,原生USD degree -> SI rad,DISCUSSION_OPEN_NOT_AUTHORIZED
D09,drive,current hinge damping SI equivalent,2864.7889756541163,,N*m*s/rad,DERIVED,S10,https://docs.omniverse.nvidia.com/kit/docs/omni_physics/107.0/dev_guide/schemas/usdphysics.html,版本107.0；UsdPhysicsDriveAPI的GetTargetPosition/GetDamping/GetStiffness/GetMaxForce,50*180/pi,不是实机等价阻尼测量,DISCUSSION_OPEN_NOT_AUTHORIZED
